Bitcoin,9257.47
Ethereum (ETH),746.70
Ripple (XRP),0.800759
Bitcoin Cash (BCH),1622.59
EOS (EOS),17.77
Litecoin (LTC),156.59
Cardano (ADA),0.322062
Stellar (XLM),0.375803
IOTA (MIOTA),2.29
TRON (TRX),0.080611
NEO (NEO),75.73
Monero (XMR),226.15
Dash (DASH),440.20
NEM (XEM),0.378683
VeChain (VEN),5.01
Ethereum Classic (ETC),21.48
Tether (USDT),0.999116
Qtum (QTUM),20.15
OmiseGO (OMG),16.23
Binance Coin (BNB),14.47
ICON (ICX),4.17
Zilliqa (ZIL),0.184232
Lisk (LSK),11.76
Bitcoin Gold (BTG),69.71
Verge (XVG),0.074953
Aeternity (AE),4.70
Zcash (ZEC),273.87
Nano (NANO),7.61
Ontology (ONT),8.80
0x (ZRX),1.77
Siacoin (SC),0.025947
Steem (STEEM),3.48
Wanchain (WAN),7.75
BitShares (BTS),0.308108
Bytom (BTM),0.778227
Bitcoin Diamond (BCD),4.76
Populous (PPT),19.52
Stratis (STRAT),7.05
Waves (WAVES),6.64
RChain (RHOC),1.80
Bitcoin Private (BTCP),31.47
Maker (MKR),1018.58
Decred (DCR),85.33
IOStoken (IOST),0.070729
Golem (GNT),0.710927
Dogecoin (DOGE),0.005050
Augur (REP),50.16
Status (SNT),0.155046
Pundi X (NPXS),0.008166
Hshare (HSR),11.48
DigiByte (DGB),0.047661
Waltonchain (WTC),15.17
Loopring (LRC),0.815915
DigixDAO (DGD),231.04
Mixin (XIN),1046.48
Nebulas (NAS),9.15
Aion (AION),3.06
aelf (ELF),1.59
Basic Attention Token (BAT),0.370219
Ardor (ARDR),0.359400
Komodo (KMD),3.41
WaykiChain (WICC),2.46
Ethos (ETHOS),4.53
Mithril (MITH),1.12
Ark (ARK),3.32
Loom Network (LOOM),0.580661
Gas (GAS),31.81
KuCoin Shares (KCS),4.19
PIVX (PIVX),5.56
Dentacoin (DCN),0.000953
Kyber Network (KNC),2.26
Elastos (ELA),56.23
ReddCoin (RDD),0.009600
Cortex (CTXC),1.84
Centrality (CENNZ),0.386086
MonaCoin (MONA),4.52
Substratum (SUB),0.697495
Cryptonex (CNX),5.78
FunFair (FUN),0.053519
Bancor (BNT),4.96
QASH (QASH),0.724072
Syscoin (SYS),0.469804
Matrix AI Network (MAN),1.66
GXChain (GXS),4.14
Dragonchain (DRGN),0.961396
Fusion (FSN),7.72
Nexo (NEXO),0.399047
Skycoin (SKY),25.16
Storm (STORM),0.053046
Nxt (NXT),0.210296
WAX (WAX),0.333205
Holo (HOT),0.001562
Veritaseum (VERI),100.78
SALT (SALT),3.52
All Sports (SOC),0.276726
Polymath (POLY),0.833001
CyberMiles (CMT),0.309507
ZCoin (XZC),41.65
BnkToTheFuture (BFT),0.309813
Enigma (ENG),2.61
Electroneum (ETN),0.028191
Neblio (NEBL),14.57
ChainLink (LINK),0.541522
Factom (FCT),21.52
Power Ledger (POWR),0.490307
Gifto (GTO),0.420963
Huobi Token (HT),3.48
Revain (R),0.923935
Achain (ACT),0.362175
POA Network (POA),0.844160
Monaco (MCO),10.75
Nucleus Vision (NCASH),0.040939
Request Network (REQ),0.246940
Byteball Bytes (GBYTE),251.48
MaidSafeCoin (MAID),0.345791
Emercoin (EMC),3.71
Nuls (NULS),3.86
BitcoinDark (BTCD),118.92
Decentraland (MANA),0.145899
TenX (PAY),1.36
Storj (STORJ),1.04
DeepBrain Chain (DBC),0.093914
Bottos (BTO),0.290502
Civic (CVC),0.398570
Cindicator (CND),0.094172
Nexus (NXS),2.38
Iconomi (ICN),1.37
ZenCash (ZEN),35.02
iExec RLC (RLC),1.67
Particl (PART),14.64
Time New Bank (TNB),0.055026
